Tweet,label,processed,processed_text
pagi2 udah di buat emosi :),anger,"['pagi2', 'buat', 'emosi']",pagi2 buat emosi
"kok stabilitas negara, memange 10 thn negara tdk aman, bahkan sby menyuburkan ormas2 radikal, intoleran, teroris, yg berafiliasi ke partai tertentu..narasi klhtn intelektual tp bodoh..",anger,"['stabilitas', 'negara', 'memange', '10', 'thn', 'negara', 'tidak', 'aman', 'bahkan', 'sby', 'subur', 'ormas2', 'radikal', 'intoleran', 'teroris', 'afiliasi', 'partai', 'tertentunarasi', 'klhtn', 'intelektual', 'tp', 'bodoh']",stabilitas negara memange 10 thn negara tidak aman bahkan sby subur ormas2 radikal intoleran teroris afiliasi partai tertentunarasi klhtn intelektual tp bodoh
dah lah emosi mulu liat emyu,anger,"['emosi', 'mulu', 'liat', 'emyu']",emosi mulu liat emyu
"aib? bodoh benar! sebelum kata aib itu muncul, terlebih dahulu sudah ada tindakan. yakni kekejian! jangan kau sembunyikan caramu menelaah masalah. semisal anak perempuanmu ditempeleng! apa kau juga setuju untuk dia bersikap bungkam? melapor polisi adl benar. lantas apa bedanya",anger,"['aib', 'bodoh', 'benar', 'belum', 'kata', 'aib', 'muncul', 'lebih', 'dahulu', 'tindak', 'yakni', 'keji', 'jangan', 'kau', 'sembunyi', 'cara', 'telaah', 'masalah', 'misal', 'anak', 'perempuan', 'tempeleng', 'apa', 'kau', 'juga', 'tuju', 'dia', 'sikap', 'bungkam', 'lapor', 'polisi', 'adl', 'benar', 'lantas', 'apa', 'beda']",aib bodoh benar belum kata aib muncul lebih dahulu tindak yakni keji jangan kau sembunyi cara telaah masalah misal anak perempuan tempeleng apa kau juga tuju dia sikap bungkam lapor polisi adl benar lantas apa beda
dih lu yg nyebelin bego,anger,"['dih', 'lu', 'nyebelin', 'bego']",dih lu nyebelin bego
"asli malu maluin org indo tolol yg rep latah ""cilukba"" pake huruf hijaiyah sm ""ngntd"" sama ganti huruf t pake salib, ada tiktok filipin lewat fyp aku dan repnya ""ngtd"" semua, dasar goblogg trend tiktok ter tolol",anger,"['asli', 'malu', 'maluin', 'org', 'indo', 'tolol', 'rep', 'latah', 'cilukba', 'pake', 'huruf', 'hijaiyah', 'sm', 'ngntd', 'sama', 'ganti', 'huruf', 't', 'pake', 'salib', 'tiktok', 'filipin', 'lewat', 'fyp', 'aku', 'repnya', 'ngtd', 'semua', 'dasar', 'goblogg', 'trend', 'tiktok', 'ter', 'tolol']",asli malu maluin org indo tolol rep latah cilukba pake huruf hijaiyah sm ngntd sama ganti huruf t pake salib tiktok filipin lewat fyp aku repnya ngtd semua dasar goblogg trend tiktok ter tolol
drama abg tolol,anger,"['drama', 'abg', 'tolol']",drama abg tolol
masih emosi sih sama katla kemarin. mana keterangannya gini aja. ((hasil mengaci)) kzl.,anger,"['masih', 'emosi', 'sih', 'sama', 'katla', 'kemarin', 'mana', 'terang', 'gin', 'aja', 'hasil', 'aci', 'kzl']",masih emosi sih sama katla kemarin mana terang gin aja hasil aci kzl
"bangsat tribute no.1, bencana no.2 mau ngalahin ini keknya",anger,"['bangsat', 'tribute', 'no1', 'bencana', 'no2', 'mau', 'ngalahin', 'kek']",bangsat tribute no1 bencana no2 mau ngalahin kek
pengen pergi jauh terus teriak sambil nangis sekencang kencangnya nanti balik kalo gue udah lupa segalanya wkwj kn tolol mustahil banget,anger,"['ken', 'pergi', 'jauh', 'terus', 'teriak', 'sambil', 'nang', 'kencang', 'kencang', 'nanti', 'balik', 'kalo', 'saya', 'lupa', 'segala', 'wkwj', 'kn', 'tolol', 'mustahil', 'banget']",ken pergi jauh terus teriak sambil nang kencang kencang nanti balik kalo saya lupa segala wkwj kn tolol mustahil banget
ya allah mau marah tpi gimana ya,anger,"['allah', 'mau', 'marah', 'tpi', 'gimana']",allah mau marah tpi gimana
silibus kita memang kbat gila babi. bodoh yang buat silibus ni. learning should be fun.,anger,"['silibus', 'kita', 'memang', 'kbat', 'gila', 'babi', 'bodoh', 'buat', 'silibus', 'ni', 'learning', 'should', 'be', 'fun']",silibus kita memang kbat gila babi bodoh buat silibus ni learning should be fun
"pagi-pagi dikerjain orang haha dikira gua bego, ya gua ladenin lahh liat sampe manaa",anger,"['pagipagi', 'dikerjain', 'orang', 'haha', 'kira', 'gua', 'bego', 'gua', 'ladenin', 'lahh', 'liat', 'sampe', 'manaa']",pagipagi dikerjain orang haha kira gua bego gua ladenin lahh liat sampe manaa
"angka covid lagi naek. kalo masih dilanjut event offlinenya, asli bodoh sih ni brand.",anger,"['angka', 'covid', 'lagi', 'naek', 'kalo', 'masih', 'lanjut', 'event', 'offlinenya', 'asli', 'bodoh', 'sih', 'ni', 'brand']",angka covid lagi naek kalo masih lanjut event offlinenya asli bodoh sih ni brand
"bukan lebih ke sangar sih , kalo menurutku goblokk bin tolol . di ingetin untuk kebaikan malah acuh",anger,"['bukan', 'lebih', 'sangar', 'sih', 'kalo', 'turut', 'goblokk', 'bin', 'tolol', 'ingetin', 'baik', 'malah', 'acuh']",bukan lebih sangar sih kalo turut goblokk bin tolol ingetin baik malah acuh
"mas ngelonte dulu mas, biar otaknya jadi seger lg, bagi org kafir seperti lu ngewe dgn lonte ibadah yg utama. punya tolol kok kebangetan bgt sih",anger,"['mas', 'ngelonte', 'dulu', 'mas', 'biar', 'otak', 'seger', 'lg', 'bagi', 'org', 'kafir', 'seperti', 'lu', 'ngewe', 'dgn', 'lonte', 'ibadah', 'utama', 'punya', 'tolol', 'banget', 'banget', 'sih']",mas ngelonte dulu mas biar otak seger lg bagi org kafir seperti lu ngewe dgn lonte ibadah utama punya tolol banget banget sih
1-10!! marah aku,anger,"['110', 'marah', 'aku']",110 marah aku
tolol banget. mana ada bercinta. yg ada mimpi di kejar kejar setan semalem. asu bocil nih yang iya iya aja kalo bicara,anger,"['tolol', 'banget', 'mana', 'cinta', 'mimpi', 'kejar', 'kejar', 'setan', 'semalem', 'asu', 'bocil', 'nih', 'iya', 'iya', 'aja', 'kalo', 'bicara']",tolol banget mana cinta mimpi kejar kejar setan semalem asu bocil nih iya iya aja kalo bicara
"izinin suami poligami buat menghindari zina? lol banget, heh mmngnya nabi saya poligami gegara mata keranjang trus sangean? trus ada niatan zina, tpi biar gak zina jdi dinikahin? ngelirik cewek sambil nyebarin ajaran agama gitu? tolol, belajar agama lagi sana",anger,"['izinin', 'suami', 'poligami', 'buat', 'hindar', 'zina', 'lol', 'banget', 'heh', 'mmngnya', 'nabi', 'saya', 'poligami', 'gegara', 'mata', 'keranjang', 'trus', 'sangean', 'trus', 'niat', 'zina', 'tpi', 'biar', 'gak', 'zina', 'jdi', 'dinikahin', 'ngelirik', 'cewek', 'sambil', 'nyebarin', 'ajar', 'agama', 'gitu', 'tolol', 'ajar', 'agama', 'lagi', 'sana']",izinin suami poligami buat hindar zina lol banget heh mmngnya nabi saya poligami gegara mata keranjang trus sangean trus niat zina tpi biar gak zina jdi dinikahin ngelirik cewek sambil nyebarin ajar agama gitu tolol ajar agama lagi sana
