text,label
sedih amat dh,sad
"ahh gw suka banget ini film, cuman sedihh ending nya begitu aja, haha mau nya kudu happy ending.. lol",love
"walaupun danpuspom anak buahnya emangnya lu kebal hukum, tugas puspom ga liat lu jendralnya tapi liat kasus hukumnya. bilang aja dung emang takut dikerangkeng.",fear
alasan kenapa suka banget sama karya2mu kak karna kadang bikin aku salting sendirii. ini ngena banget meskipun aku gapunya ayang kk,love
"selain anime naruto,gua juga cintaaaa banget ke anime hunter x hunter =))",love
disini sepi bgt knp ya,sad
"pas punya dowoon wonpil kaget karena baru tau ada wish dari member, pas young k ""okee eod"", pas sungjin ""lahh,, ada dia juga wkwk""",joy
kece bngt brokhh waduchh sbl suka banget loch,love
"r.i.p kepada minatku melihat foto2 masa kecilmu, ga nyangka banget padahal sebulan lalu kalo gabut dikit masih suka tak liatin",love
nasi biasa di canpur sambal cikur sangrai,neutral
"kok buna kuat sih? ""kok buna biasa aja?"" percayalah aku pernah ditahap sedih, kecewa dn terluka. tapi saat ini kejelasan yg aku terima membuat rasa itu sembuh sendirinya. berdamai ikhlas, now is 6 + 1 not only 6 or only 1. don't forget vote streaming!",sad
cewek kalo udah syg sm seseorang suka kebangetan tulusnya. makanya pas putus *galau sm susah move on-nya itu loh jg suka kebangetan banget.,love
lagii rame kalo suami boleh pukul istri yaa. kalo pukul bercanda ga bikin lebam aku sih biasa ajaa tp aku tipe org yg gasuka disakitin jd kalo aku dipukul kupukul balik soalnya sayah semasa hidup gapernah pukul aku marah aja ga pernah krn ak anak satu2nya,anger
"dalam hubungan pasti ada tipe wanita yang selalu menanyakan pertanyaan yang sama kepada pasangannya. entah itu ""kamu cinta aku gak?"" atau ""aku cantik gak?"" terus yang lebih ekstrim lagi ""aku gendutan ya?"". aku pribadi lebih suka dibilang cantik, suasana hati langsung goodmood.",love
"genius kang taehyun happy birthday anak lanang sehat terus jan sakit klo sakit aku marah kangen tyunn sulap, jg pengin tyunn ada konten masak trus upload di yt gitu _ __",anger
"ini papa nya aja belum ada kabar gasih, aku laper belum disuruh makan sama ayang",sad
sabar sabar. kaget sama crossovernya. chigiri pulang kunigami udah nangis noh di pojokan,neutral
kepleset di depan abang2 gojek udah sakit malu juga,fear
gw benci sekolah,anger
happy birthday mbar.. sehat dan bahagia terus yah!!,joy
"denger kamu kecelakaan kaget banget, dan khawatir bagaimana keadaan kamu. aku nggak tau seberapa sakit kamu menghadapi ini semua, tapi percayalah kami selalu ada disampingmu i love you bunny",love
akhirnya kita gak malu lagi soalnya bener,neutral
"iya enak banget, pas lagi mijitin sambil crita2 dan walaupun ibuk gua agak nyebelin *kadang, asik banget klo diajak deeptalk berasa seumuran..biasanya ibuk suka gini ""ehh iya tau.. ""..""trus.. trus gimana tuh.. ""..""masak sih.. tadinya bla.. bla.. ""..""saran ibuk si.. """,love
"”dg meta orang lain. misalnya kokomi, yang kamu benci banget itu, naik usage rate nya, ya berarti orang suka pake itu ke abyss. come on, kita tau orang yang ke abyss, apalagi lantai 9 sampe 12, nggak mungkin ke sana cuma buat have fun pake alesan api mihoyo rusak wkwk",love
electro batman emang bangsat sih,anger
dulu saat gus dur dijatuhkan bukan tdk sedikit yg mencintai dia. tapi dia pergi dari istana dgn kondisi serendah mgk agar yg mencintai dia tdk marah pada yg menjatuhkannya.,neutral
ngeri,fear
sayang tidak suka ya kalo sih pacar mu itu dateng pada acara meet and greet kamu nanti saya harap kamu menghargai perasaan fans saya tidak mau acara kamu kacau hanya karna pacar mu itu dateng .,anger
"hadeeh kadang gue bingung banget yah sama cewe suka update2 kalo dia jadi selingkuhan gini tuh ceritanya merasa cantik banget apa gimana sih? jahat tauu beginii.. udah jahat diumbar2 jahatnya, gue aja yg cewek ilfeel liatnya, huftt.",anger
"pas mlaku ijo dikon ngucapke habede tau, ilopyu jangan marah yo tau tur nek pas oren kok kon ngucapke ngene njuk le ngomong kepie gek lanang?",anger
pernah ga si kalian nyakitin diri sendiri biar ga marah hehe,sad
hahaha iya nih malu malah gak bawa jeans lagi :'),sad
ayahku di alam kubur kayanya malu juga anaknya jadi wibu begini,sad
kmrn kepalaku pusing trs badan greges jd tidur saja pilihanku. apakah sudah makan sblm itu?,neutral
wkwkakak faker tolol ye,anger
"silahkan, nggak usah ditanya karena aku suka baca tulisan btari. cantik banget",love
grey sama what am i suka banget,love
semangat isah,joy
saya lebih suka otoriternya alm pak harto. harga dikontrol mafia pangan gak berkutik. migas dikontrol gak ada yg berani nimbun. preman disikat masyarakat aman tentram. sayang org2 disekelilingnya kurang baik. ada gbhn dan repelita arah pembangunan yg jelas.,neutral
weh baru balik ngerjain tugas kaget banget kok rame??,fear
"asli suka banget sama styling-nya, bagus semua",love
kok dia mau ngedads bodoh sih pake kasih uname akun itu? agak bodoh ya wkwk trus abis itu lu apain anaknya wack? kaga lu sidah isbat anaknya?,neutral
full sedih mazzehh,sad
"jarang suka genre romance, tp sekalinya suka lgsg bucin banget !!",love
gatau malu ya,anger
"tiap sabtu kebangunin anjir grgr dibelakang rumah ada ibu ibu suka senam dan pake speakernya tuh gede banget anjing suaranya kaya bener bener gede banget gila, udh pernah ditegur sebenernya tp diulang lg gt kaya minggu depannya pasti gede lagi si suaranya :) bgst pen tdr aku",anger
"tambah ngeri aja ni,,",fear
pagiku cerah ku market ku hijau hijau,joy
"gue pernah datang lebih awal, sebelum waktu nya malah terus malah dibilang kek gini (kurang lebih) saking jombolnya jadi punya banyak waktu luang ya? gue ga tau mesti seneng atau sedih -_- jengkel ahhh",anger
eh btw maaf banget ya liana gue spam mentab lo makasih sangmilnyaa suka bangett haa,love
heh podooooo! aku suka banget kombo tawar ijo dan meses itu.. fusion banget aromanya. elah.. fusion!,love
ihh kok marah marah sihh,anger
"melodinya enak banget asli, meskipun nggak tau baca liriknya. definisi suka lagu karena musiknya enak.",love
"banyak hal hal kecil yg aku lakuin ke kamu, ternyata kamu suka banget!! aku ngelakuin itu semua pure to make u happy",love
"bangsat, ngagetin aja",anger
renang dari jam 10.30 - jam 2 karena seru bgt sepi + cuaca mendukung (mendung) pulang2 kaget hidung sm pipi merah kena sunburn sad bet,sad
"mau ngejar, takut lari. jadi mending ga usah ngapa-ngapain",fear
"tlong jgn bikin emosi pagi-pagi, aku lg puasa",anger
baca saja tulisanku jangan baca hati dan perasaanku itu tak penting,neutral
semangat ya.. jangan mau dijadiin mainan,joy
"diem bukan berrti aku limbad, bisa saja sy ijat :)",neutral
takut gw mappa garap csm scene muntah di sensor apa kg,fear
semangat hari inii jangan lupa sarapan!!,joy
terkadang rasa kecewa yang mendalam itu disebabkan oleh harapan kita yang terlalu tinggi terhadap sesuatu,sad
ih tolol ya ketakutan tantrum bocahnya dikampus sampe malem,anger
hahaha lebih enak pakek nalar daripada mikir itung itungan,joy
"jangan cuma beraninya nge dm doank buktikan dengan ngajak kita ngeroom..jd bisa di buktikan semuanya,tidak semata bualan,atau halu saja..",anger
semoga bisa cepat pulih,neutral
suka banget,love
rejeki enzi si anak imut! pagi-pagi zi dpt jajan dari yg lagi ultah! wuhuu maaci ya iden~ semoga bahagia celalu (¢ì€á´—-),joy
mandi air anget pake garam enak jugaa yaa langsung freshh ke badan..,joy
joonyoung.. paling merinding sama sedih jadi 1,fear
bisnis haram nih artis indonesia yang suka banget bekerja dg uang haram hindari dan jauhi bisnisnya karaoke dll.. biadab banget mengajak masyarakat kpd hal2 yg negatif jauhi mereka semuanya para artis yg menjerumuskanmu keneraka jahanam naudzubillah mindhaliq .,anger
