text,label
"makasih kakak bianca. nama kakak juga cantik. oh! sama sih tapi engga suka yang suka banget gitu, kalo bagus terus genrenya horror ya aku sukaa! kalo aku untuk genre lebih milih thriller! c:",love
"kenapa sih, dapat yg tulus maunya yg brengsek bodoh",anger
"emang emang yang ngeliat gue dari luar tuh pasti kek asik banget yekan kerjaan enak, sesuai passion, gaji ya oke lah buat foya2 ama nabung masa depan, kaya happy terus, keluar sana sini, jalan2, banyak teman, apalagi ya .. ya tapikan kau tidak berjalan di atas sepatuku memek.",anger
bangsat ini siapa yang setel lagu galau pagi pagi,anger
"masih pagi loh, udah ada yg bikin emosi aja",anger
"hai sender! selamat pagii. ini ada tristan yang bisa dirent seminggu. a soft-dominant type, kalem, tapi seruu dan lucuu, sangat sangat penyayangg dan perhatian. dia suka kasih pukis dan manjain bayiin pacarnyaa, cocok sama sender yg suka dimanja-manja",love
jatuh cinta karna suka jatuh cinta karna kasih sayangmu,love
"jangan marah marah, namanya juga sepak bola, wasit juga manusia, bisa bikin salah tapi dada dari mana ya lord",anger
lagi suka banget lagu 127 yg the rainy night,love
semangat mar..,joy
"congratss nderr, mau bangett dong nderr, sedih bangett uda seneng keterima ternyata penipuan perusahaan gede lagi, mo nangis",sad
lagi di fase sedih bgt gapunya siapa buat cerita,sad
kayaknya ini udah lama bangt gue nggak marah-marah abis baca ff..,anger
"kakakk, suka banget sama au nya semangat terus berkaryanya kak!!",love
"aurat itu dari bahasa arab iaitu aurah yang berarti aib. jika tidak menutup aurat, sama saja seperti membuka aib sendiri.",neutral
thank you aii !! sumpah i takut sekarang terpaling redha dah ni,fear
inituh yg ad member dari indo nya gak sihh sedih bgt,sad
enak bgt y pak,joy
makanya pada ngaji yg bener biar gak bego..,anger
udah nyoba dari pagi-siang-sore-malem sampe jam 1/2/3/4 subuh juga kagak bisa trs aku panik dong,fear
semangat ka bitt! semoga sempronya lancar,joy
"sabtu ini sudah jadwal bersih-bersih kamar kost karena berantakannya luar biasa. klora di sini, sudah memasuki usia kepala tiga, tahun ini.",neutral
"betul ah tu, aku selalu kena marah sebab tercegat kat depan kuali padahal sementara nak tunggu masak tu boleh buat benda lain hahahaha",joy
"pasti sedih dan capek jugaa, semangat ya firdyy",neutral
dari kemaren aku demam + tenggorokan nya sakit.. ya allah takut,fear
